 A 1. Leki refundowane dostępne w aptece na receptę w całym zakresie zarejestrowanych wskazań i przeznaczeń lub we wskazaniu określonym stanem klinicznym,,,,,,,,,,,,,,,
LP,Substancja czynna,Nazwa  postać i dawka,Zawartość opakowania,Numer GTIN lub inny kod jednoznacznie identyfikujący produkt,Termin wejścia w życie decyzji,Okres obowiązywania decyzji,Grupa limitowa,Urzędowa cena zbytu,Cena hurtowa brutto,Cena detaliczna,Wysokość limitu finansowania,Zakres wskazań objętych refundacją,Zakres wskazań pozarejestracyjnych objętych refundacją,Poziom odpłatności,Wysokość dopłaty świadczeniobiorcy
1,8-Methoxypsoralenum,"Oxsoralen, kaps. miękkie, 10 mg",50 szt. (5 blist.po 10 szt.),05909990244713,2019-01-01,3 lata,"52.0, Leki przeciwłuszczycowe do stosowania ogólnego - psoraleny - metoksalen","12,74","13,38","17,56","17,56",We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,,30%,"5,27"
2,Acarbosum,"Adeksa, tabl., 100 mg",30 szt.,05909990893423,2019-05-01,3 lata,"17.0, Doustne leki przeciwcukrzycowe - inhibitory alfaglukozydazy - akarboza","13,28","13,94","18,23","18,23",Cukrzyca,,30%,"5,47"
3,Acarbosum,"Adeksa, tabl., 50 mg",30 szt.,05909990893386,2019-05-01,3 lata,"17.0, Doustne leki przeciwcukrzycowe - inhibitory alfaglukozydazy - akarboza","7,45","7,82","10,41","9,12",Cukrzyca,,30%,"4,03"
4,Acarbosum,"Glucobay 100, tabl., 100 mg",30 szt. (2 blist.po 15 szt.),05909990285518,2019-01-01,3 lata,"17.0, Doustne leki przeciwcukrzycowe - inhibitory alfaglukozydazy - akarboza","13,28","13,94","18,23","18,23",Cukrzyca,,30%,"5,47"
5,Acarbosum,"Glucobay 50, tabl., 50 mg",30 szt. (2 blist.po 15 szt.),05909990285419,2019-01-01,3 lata,"17.0, Doustne leki przeciwcukrzycowe - inhibitory alfaglukozydazy - akarboza","7,45","7,82","10,41","9,12",Cukrzyca,,30%,"4,03"
6,Acarbosum,"Glucobay 50, tabl., 50 mg",90 szt. (6 blist.po 15 szt.),05909990335541,2019-01-01,3 lata,"17.0, Doustne leki przeciwcukrzycowe - inhibitory alfaglukozydazy - akarboza","22,36","23,48","29,12","27,35",Cukrzyca,,30%,"9,98"
7,Acebutololi hydrochloridum,"Acebutolol Aurovitas, tabl. powl., 200 mg",30 szt.,05909991370916,2020-01-01,3 lata,"40.0, Leki beta-adrenolityczne - selektywne - do stosowania doustnego","6,18","6,49","8,34","5,94",We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,,ryczałt,"5,60"
8,Acebutololi hydrochloridum,"Acebutolol Aurovitas, tabl. powl., 400 mg",30 szt.,05909991370954,2020-01-01,3 lata,"40.0, Leki beta-adrenolityczne - selektywne - do stosowania doustnego","12,38","13,00","16,27","11,89",We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,,ryczałt,"7,58"
9,Acebutololum,"Sectral 200, tabl. powl., 200 mg",30 szt.,05909990109920,2019-01-01,3 lata,"40.0, Leki beta-adrenolityczne - selektywne - do stosowania doustnego","8,86","9,30","11,15","5,94",We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,,ryczałt,"8,41"
10,Acebutololum,"Sectral 400, tabl. powl., 400 mg",30 szt.,05909990110018,2019-01-01,3 lata,"40.0, Leki beta-adrenolityczne - selektywne - do stosowania doustnego","16,52","17,35","20,61","11,89",We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,,ryczałt,"11,92"
11,Acenocoumarolum,"Acenocumarol WZF, tabl., 4 mg",60 szt.,05909990055715,2019-01-01,3 lata,"21.0, Leki przeciwzakrzepowe z grupy antagonistów witaminy K","8,32","8,74","11,86","11,86",We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,,ryczałt,"5,12"
12,Aciclovirum,"Hascovir, tabl., 200 mg",30 szt. (2 blist.po 15 szt.),05909991049515,2019-01-01,3 lata,"115.2, Leki przeciwwirusowe - acyklowir - postacie do stosowania doustnego","9,72","10,21","13,75","12,35",We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,,50%,"7,58"
13,Aciclovirum,"Hascovir, tabl., 400 mg",30 szt. (2 blist.po 15 szt.),05909991052218,2019-01-01,3 lata,"115.2, Leki przeciwwirusowe - acyklowir - postacie do stosowania doustnego","16,20","17,01","22,57","22,57",We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,,50%,"11,29"
14,Aciclovirum,"Hascovir, tabl., 800 mg",30 szt.,05909990835782,2019-05-01,3 lata,"115.2, Leki przeciwwirusowe - acyklowir - postacie do stosowania doustnego","32,40","34,02","42,60","42,60",We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,,50%,"21,30"
15,Aciclovirum,"Heviran, tabl. powl., 200 mg",30 szt. (3 blist.po 10 szt.),05909990840014,2019-01-01,3 lata,"115.2, Leki przeciwwirusowe - acyklowir - postacie do stosowania doustnego","11,52","12,10","15,64","12,35",We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,,50%,"9,47"
16,Aciclovirum,"Heviran, tabl. powl., 400 mg",30 szt. (3 blist.po 10 szt.),05909990840113,2019-01-01,3 lata,"115.2, Leki przeciwwirusowe - acyklowir - postacie do stosowania doustnego","21,03","22,08","27,64","24,70",We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,,50%,"15,29"
17,Aciclovirum,"Heviran, tabl. powl., 800 mg",30 szt. (3 blist.po 10 szt.),05909990840229,2019-01-01,3 lata,"115.2, Leki przeciwwirusowe - acyklowir - postacie do stosowania doustnego","38,87","40,81","49,39","49,39",We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,,50%,"24,70"
