 B. Leki dostępne w ramach programu lekowego,,,,,,,,,,,,,
LP,Substancja czynna,Nazwa  postać i dawka leku,Zawartość opakowania,Numer GTIN lub inny kod jednoznacznie identyfikujący produkt,Termin wejścia w życie decyzji,Okres obowiązywania decyzji,Grupa limitowa,Urzędowa cena zbytu,Cena hurtowa brutto,Wysokość limitu finansowania,Oznaczenie załącznika zawierającego zakres wskazań objętych refundacją  wg ICD 10 ,Poziom odpłatności,Wysokość dopłaty świadczeniobiorcy
1,Abemaciclibum,"Verzenios, tabl. powl., 100 mg",70 szt.,05014602500986,2020-09-01,2 lata,"1210.0, Abemacyklib","12336,30","12953,12","12953,12",B.9.,bezpłatny,0
2,Abemaciclibum,"Verzenios, tabl. powl., 150 mg",70 szt.,05014602500993,2020-09-01,2 lata,"1210.0, Abemacyklib","12336,30","12953,12","12953,12",B.9.,bezpłatny,0
3,Abemaciclibum,"Verzenios, tabl. powl., 50 mg",70 szt.,05014602500979,2020-09-01,2 lata,"1210.0, Abemacyklib","12336,30","12953,12","12953,12",B.9.,bezpłatny,0
4,Abirateroni acetas,"Zytiga, tabl. powl., 500 mg",60 szt.,05909991307080,2020-01-01,2 lata,"1121.0, Octan abirateronu","13392,00","14061,60","14061,60",B.56.,bezpłatny,0
5,Adalimumabum,"Amgevita, roztwór do wstrzykiwań, 20 mg","1 amp.-strzyk. 0,4 ml",08715131019761,<1>2021-03-01/<2><3><4><5>2019-03-01,3 lata,"1050.1, blokery TNF - adalimumab","499,54","524,52","400,33",<1>B.32.; <2>B.33.; <3>B.35.; <4>B.36.; <5>B.47.,bezpłatny,0
7,Adalimumabum,"Amgevita, roztwór do wstrzykiwań, 40 mg","2 amp.-strzyk. 0,8 ml",08715131019808,<1>2021-03-01/<2><3><4><5>2019-03-01,3 lata,"1050.1, blokery TNF - adalimumab","1998,17","2098,08","1601,32",<1>B.32.; <2>B.33.; <3>B.35.; <4>B.36.; <5>B.47.,bezpłatny,0
8,Adalimumabum,"Amgevita, roztwór do wstrzykiwań, 40 mg","2 wstrzykiwacze 0,8 ml",08715131019792,2019-03-01,3 lata,"1050.1, blokery TNF - adalimumab","1998,17","2098,08","1601,32",<1>B.33.; <2>B.35.; <3>B.36.; <4>B.47.,bezpłatny,0
6,Adalimumabum,"Amgevita, roztwór do wstrzykiwań, 40 mg","6 amp.-strzyk. 0,8 ml",08715131019754,2019-03-01,3 lata,"1050.1, blokery TNF - adalimumab","5994,52","6294,25","4803,96",<1>B.33.; <2>B.35.; <3>B.36.; <4>B.47.,bezpłatny,0
9,Adalimumabum,"Amgevita, roztwór do wstrzykiwań, 40 mg","6 wstrzykiwaczy 0,8 ml",08715131019747,2019-03-01,3 lata,"1050.1, blokery TNF - adalimumab","5994,52","6294,25","4803,96",<1>B.33.; <2>B.35.; <3>B.36.; <4>B.47.,bezpłatny,0
10,Adalimumabum,"Humira, roztwór do wstrzykiwań, 40 mg",2 amp.-strz. + 2 gaziki,08054083011905,2019-09-01,2 lata,"1050.1, blokery TNF - adalimumab","2455,11","2577,87","1601,32",B.105.,bezpłatny,0
