"D. Leki, środki spożywcze specjalnego przeznaczenia żywieniowego oraz wyroby medyczne przysługujące świadczeniobiorcom, o których mowa w art. 43a ust. 1 ustawy z dnia 27 sierpnia 2004 r. o świadczeniach opieki zdrowotnej finansowanych ze środków publicznych (Dz.U. z 2020 r. poz. 1398, z późn. zm.)",,,,
LP,Substancja czynna,Nazwa i postać leku,Zawartość opakowania,Numer GTIN lub inny kod jednoznacznie identyfikujący produkt
1,Acebutololi hydrochloridum,"Acebutolol Aurovitas, tabl. powl., 200 mg",30 szt.,05909991370916
2,Acebutololi hydrochloridum,"Acebutolol Aurovitas, tabl. powl., 400 mg",30 szt.,05909991370954
3,Acebutololum,"Sectral 200, tabl. powl., 200 mg",30 szt.,05909990109920
4,Acebutololum,"Sectral 400, tabl. powl., 400 mg",30 szt.,05909990110018
5,Acenocoumarolum,"Acenocumarol WZF, tabl., 4 mg",60 szt.,05909990055715
6,Acidum alendronicum,"Alendran 70, tabl., 70 mg",4 szt. (1 blist.po 4 szt.),05909990072156
7,Acidum alendronicum,"Alendrogen, tabl., 70 mg",4 szt.,05909990623112
8,Acidum alendronicum,"Alendronat Bluefish, tabl., 70 mg",4 szt.,05909990737673
9,Acidum alendronicum,"Alendronic Acid Genoptim, tabl., 70 mg",4 szt. (1 blist.po 4 szt.),05909990675302
10,Acidum alendronicum,"Ostemax 70 comfort, tabl., 70 mg",4 szt. (1 blist.po 4 szt.),05909991081713
11,Acidum alendronicum,"Ostenil 70, tabl., 70 mg",4 szt. (1 blist.po 4 szt.),05909991087418
12,Acidum alendronicum,"Ostenil 70, tabl., 70 mg",6 szt. (1 blist.po 6 szt.),05909991087425
13,Acidum alendronicum,"Ostolek, tabl. powl., 70 mg",4 szt. (1 blist.po 4 szt.),05909991032517
14,Acidum folicum,"Acidum folicum Richter, tabl., 15 mg",30 szt. (1 blist.po 30 szt.),05909990109319
15,Acidum folicum,"Acidum folicum Richter, tabl., 5 mg",30 szt. (1 blist.po 30 szt.),05909990109210
16,Acidum tranexamicum,"Exacyl, tabl. powl., 500 mg",20 szt. (2 blist.po 10 szt.),05909990035915
17,Alfuzosini hydrochloridum,"Dalfaz Uno, tabl. o przedł. uwalnianiu, 10 mg",30 szt.,05909991288457
18,Alfuzosini hydrochloridum,"Dalfaz Uno, tabl. o przedł. uwalnianiu, 10 mg",30 szt.,05909991392055
19,Alfuzosinum,"Alfabax, tabl. o przedłużonym uwalnianiu, 10 mg",30 szt. (3 blist.po 10 szt.),05909990746576
20,Alfuzosinum,"Alfurion, tabl. o przedł. uwalnianiu, 10 mg",30 szt.,05909991291945
21,Alfuzosinum,"Alfuzostad 10 mg, tabl. o przedłużonym uwalnianiu, 10 mg",30 szt. (3 blist.po 10 szt.),05909990619580
22,Alfuzosinum,"Alugen 10 mg, tabl. o przedłużonym uwalnianiu, 10 mg",30 szt.,05909990037933
23,Alfuzosinum,"Dalfaz SR 5, tabl. powl. o przedłużonym uwalnianiu, 5 mg",20 szt.,05909990812714
24,Alfuzosinum,"Dalfaz Uno, tabl. o przedłużonym uwalnianiu, 10 mg",30 szt.,05909990837816
25,Amantadinum,"Viregyt-K, kaps., 100 mg",50 szt.,05909990320912
26,Amiloridum + Hydrochlorothiazidum,"Tialorid mite, tabl., 2,5+25 mg",50 tabl.,05909990373819
27,Amiloridum + Hydrochlorothiazidum,"Tialorid, tabl., 5+50 mg",50 tabl.,05909990206025
28,Amiodaronum,"Opacorden, tabl. powl., 200 mg",60 szt.,05909990086818
29,Amlodipini besilas,"Amlodipine Aurovitas, tabl., 10 mg",30 szt.,05909991322885
30,Amlodipini besilas,"Amlodipine Aurovitas, tabl., 5 mg",30 tabl.,05909991322816
31,Amlodipinum,"Adipine, tabl., 10 mg",30 szt. (3 blist.po 10 szt.),05909990642267
32,Amlodipinum,"Adipine, tabl., 5 mg",30 szt. (3 blist.po 10 szt.),05909990642311
33,Amlodipinum,"Agen 10, tabl., 10 mg",30 szt.,05909991226909
34,Amlodipinum,"Agen 10, tabl., 10 mg",30 szt.,05909991230845
35,Amlodipinum,"Agen 10, tabl., 10 mg",30 szt. (3 blist.po 10 szt. lub 2 blist.po 15 szt.),05909991099022
36,Amlodipinum,"Agen 10, tabl., 10 mg",60 szt.,05909991226916
37,Amlodipinum,"Agen 10, tabl., 10 mg",60 szt. (6 blist.po 10 szt. lub 4 blist.po 15 szt.),05909991067540
38,Amlodipinum,"Agen 10, tabletki, 10 mg",30 tabl.,05909991302184
39,Amlodipinum,"Agen 5, tabl., 5 mg",30 szt.,05909991231811
40,Amlodipinum,"Agen 5, tabl., 5 mg",30 szt. (3 blist.po 10 szt. lub 2 blist.po 15 szt.),05909991098926
41,Amlodipinum,"Agen 5, tabl., 5 mg",60 szt.,05909991295233
