LP,Substancja czynna,Nazwa  postać i dawka,Zawartość opakowania,Numer GTIN lub inny kod jednoznacznie identyfikujący produkt,Termin wejścia w życie decyzji,Okres obowiązywania decyzji,Grupa limitowa,Urzędowa cena zbytu,Cena hurtowa brutto,Cena detaliczna,Wysokość limitu finansowania,Zakres wskazań objętych refundacją,Zakres wskazań pozarejestracyjnych objętych refundacją,Poziom odpłatności,Wysokość dopłaty świadczeniobiorcy
1,Dibutyrylochityna,"Dibucell Active 10x10 cm, jałowy opatrunek biopolimerowy, 100 cm²",1 szt.,5905669556088,2023-01-01,2 lata,"220.15, Opatrunki biopolimerowe","18,90","19,85","25,32","25,32",Przewlekłe owrzodzenia,,30%,"7,60"
2,Emplastri alginatosa et hydrofibrica,"Medisorb A 10x10 cm, opatrunek alginianowy, 100 cm²",1 szt.,5900516844714,2022-03-01,3 lata,"220.1, Opatrunki alginianowe i hydrowłókienne","6,45","6,77","9,40","9,26",Przewlekłe owrzodzenia,,30%,"2,92"
3,Emplastri alginatosa et hydrofibrica,"Medisorb A 10x10 cm, opatrunek alginianowy, 100 cm²",1 szt.,5900516844714,2022-03-01,3 lata,"220.1, Opatrunki alginianowe i hydrowłókienne","6,45","6,77","9,40","9,26",Epidermolysis bullosa,,bezpłatny do limitu,"0,14"
4,Emplastri alginatosa et hydrofibrica,"Sorbalgon 10x10 cm, jałowy opatrunek z alginianów wapnia, 100 cm²",1 szt.,4049500217958,2022-01-01,3 lata,"220.1, Opatrunki alginianowe i hydrowłókienne","7,45","7,82","10,45","9,26",Przewlekłe owrzodzenia,,30%,"3,97"
5,Emplastri alginatosa et hydrofibrica,"Sorbalgon 10x10 cm, jałowy opatrunek z alginianów wapnia, 100 cm²",1 szt.,4049500217958,2022-01-01,3 lata,"220.1, Opatrunki alginianowe i hydrowłókienne","7,45","7,82","10,45","9,26",Epidermolysis bullosa,,bezpłatny do limitu,"1,19"
6,Emplastri alginatosa et hydrofibrica,"Sorbalgon 10x20 cm, jałowy opatrunek z alginianów wapnia, 200 cm²",1 szt.,4049500217927,2022-07-01,3 lata,"220.1, Opatrunki alginianowe i hydrowłókienne","14,77","15,51","19,85","18,52",Przewlekłe owrzodzenia,,30%,"6,89"
7,Emplastri alginatosa et hydrofibrica,"Sorbalgon 10x20 cm, jałowy opatrunek z alginianów wapnia, 200 cm²",1 szt.,4049500217927,2022-07-01,3 lata,"220.1, Opatrunki alginianowe i hydrowłókienne","14,77","15,51","19,85","18,52",Epidermolysis bullosa,,bezpłatny do limitu,"1,33"
8,Emplastri alginatosa et hydrofibrica,"Sorbalgon 5x5 cm, jałowy opatrunek z alginianów wapnia, 25 cm²",1 szt.,4049500217965,2022-01-01,3 lata,"220.1, Opatrunki alginianowe i hydrowłókienne","3,00","3,15","3,86","2,32",Przewlekłe owrzodzenia,,30%,"2,24"
9,Emplastri alginatosa et hydrofibrica,"Sorbalgon 5x5 cm, jałowy opatrunek z alginianów wapnia, 25 cm²",1 szt.,4049500217965,2022-01-01,3 lata,"220.1, Opatrunki alginianowe i hydrowłókienne","3,00","3,15","3,86","2,32",Epidermolysis bullosa,,bezpłatny do limitu,"1,54"
10,Emplastri alginatosa et hydrofibrica,"Suprasorb A, opatrunek z alginianu wapnia, sterylny, 10x10 cm, opatrunek, 100 cm²",1 szt.,4021447013466,2022-01-01,3 lata,"220.1, Opatrunki alginianowe i hydrowłókienne","6,43","6,75","9,38","9,26",Przewlekłe owrzodzenia,,30%,"2,90"
