LP,Substancja czynna,Nazwa  postać i dawka leku,Zawartość opakowania,Numer GTIN lub inny kod jednoznacznie identyfikujący produkt,Termin wejścia w życie decyzji,Okres obowiązywania decyzji,Grupa limitowa,Urzędowa cena zbytu,Cena hurtowa brutto,Wysokość limitu finansowania,Oznaczenie załącznika zawierającego zakres wskazań objętych refundacją  wg ICD 10 ,Poziom odpłatności,Wysokość dopłaty świadczeniobiorcy
1,Abirateroni acetas,"Abiral, tabl. powl., 500 mg",60 szt.,05901720140555,<1>2023-01-01/<2>2023-03-01,<1>3 lata/<2>2 lata,"1121.0, Octan abirateronu","3240,00","3402,00","3402,00",<1>C.87.a.; <2>C.87.b.,bezpłatny,0
2,Abirateroni acetas,"Abiraterone Accord, tabl. powl., 500 mg",60 szt.,05055565780886,<1>2022-11-01/<2>2023-03-01,<1>3 lata/<2>2 lata,"1121.0, Octan abirateronu","3402,00","3572,10","3402,00",<1>C.87.a.; <2>C.87.b.,bezpłatny,0
3,Abirateroni acetas,"Abiraterone G.L. Pharma, tabl. powl., 250 mg",120 szt.,09008732014020,<1>2022-11-01/<2>2023-03-01,<1>3 lata/<2>2 lata,"1121.0, Octan abirateronu","3402,00","3572,10","3402,00",<1>C.87.a.; <2>C.87.b.,bezpłatny,0
4,Abirateroni acetas,"Abiraterone G.L. Pharma, tabl. powl., 500 mg",60 szt.,09008732014037,<1>2022-11-01/<2>2023-03-01,<1>3 lata/<2>2 lata,"1121.0, Octan abirateronu","3402,00","3572,10","3402,00",<1>C.87.a.; <2>C.87.b.,bezpłatny,0
5,Abirateroni acetas,"Abiraterone Glenmark, tabl. powl., 500 mg",60 szt.,05909991472276,<1>2022-11-01/<2>2023-03-01,<1>3 lata/<2>2 lata,"1121.0, Octan abirateronu","3402,00","3572,10","3402,00",<1>C.87.a.; <2>C.87.b.,bezpłatny,0
6,Abirateroni acetas,"Abiraterone Krka, tabl. powl., 500 mg",60 szt.,03838989746711,<1>2022-11-01/<2>2023-03-01,<1>3 lata/<2>2 lata,"1121.0, Octan abirateronu","3348,00","3515,40","3402,00",<1>C.87.a.; <2>C.87.b.,bezpłatny,0
7,Abirateroni acetas,"Abiraterone Orion, tabl. powl., 500 mg",56 szt.,05909991457037,<1>2023-01-01/<2>2023-03-01,<1>3 lata/<2>2 lata,"1121.0, Octan abirateronu","3024,00","3175,20","3175,20",<1>C.87.a.; <2>C.87.b.,bezpłatny,0
8,Abirateroni acetas,"Abiraterone Pharmascience, tabl. powl., 500 mg",60 szt.,05909991485764,<1>2022-11-01/<2>2023-03-01,<1>3 lata/<2>2 lata,"1121.0, Octan abirateronu","3348,00","3515,40","3402,00",<1>C.87.a.; <2>C.87.b.,bezpłatny,0
9,Abirateroni acetas,"Abiraterone Richter, tabl. powl., 500 mg",60 szt.,05909991484651,<1>2022-11-01/<2>2023-03-01,<1>3 lata/<2>2 lata,"1121.0, Octan abirateronu","3402,00","3572,10","3402,00",<1>C.87.a.; <2>C.87.b.,bezpłatny,0
10,Abirateroni acetas,"Abiraterone Sandoz, tabl. powl., 1000 mg",30 szt.,05907626709872,<1>2022-11-01/<2>2023-03-01,<1>3 lata/<2>2 lata,"1121.0, Octan abirateronu","3240,00","3402,00","3402,00",<1>C.87.a.; <2>C.87.b.,bezpłatny,0
11,Abirateroni acetas,"Abiraterone Sandoz, tabl. powl., 500 mg",60 szt.,05907626709865,<1>2022-11-01/<2>2023-03-01,<1>3 lata/<2>2 lata,"1121.0, Octan abirateronu","3240,00","3402,00","3402,00",<1>C.87.a.; <2>C.87.b.,bezpłatny,0
12,Abirateroni acetas,"Abiraterone STADA, tabl. powl., 500 mg",60 szt.,05909991474102,<1>2022-11-01/<2>2023-03-01,<1>3 lata/<2>2 lata,"1121.0, Octan abirateronu","3348,00","3515,40","3402,00",<1>C.87.a.; <2>C.87.b.,bezpłatny,0
13,Abirateroni acetas,"Abiraterone Vipharm, tabl. powl., 500 mg",60 szt.,05901812162175,<1>2022-11-01/<2>2023-03-01,<1>3 lata/<2>2 lata,"1121.0, Octan abirateronu","3348,00","3515,40","3402,00",<1>C.87.a.; <2>C.87.b.,bezpłatny,0
14,Abirateroni acetas,"Grumabix, tabl. powl., 500 mg",60 szt.,05900411008624,2023-03-01,2 lata,"1121.0, Octan abirateronu","3132,00","3288,60","3288,60",<1>C.87.a.; <2>C.87.b.,bezpłatny,0
15,Abirateronum,"Abiraterone Zentiva, tabl. powl., 500 mg",60 szt.,05909991469986,<1>2022-11-01/<2>2023-03-01,<1>3 lata/<2>2 lata,"1121.0, Octan abirateronu","3464,64","3637,87","3402,00",<1>C.87.a.; <2>C.87.b.,bezpłatny,0
16,Abirateronum,"Zytiga, tabl. powl., 500 mg",60 szt.,05909991307080,<1>2022-09-01/<2>2023-03-01,<1>3 lata/<2>2 lata,"1121.0, Octan abirateronu","10044,00","10546,20","3402,00",<1>C.87.a.; <2>C.87.b.,bezpłatny,0
17,Acidum levofolinicum,"Levofolic 50 mg/ml roztwór do wstrzykiwań lub infuzji, roztwór do wstrzykiwań i infuzji, 50 mg/ml",1 fiol.po 4 ml,05909990648818,2022-07-01,3 lata,"1093.0, pochodne i sole kwasu folinowego","56,16","58,97","58,97",C.0.01.,bezpłatny,0
