LP,Substancja czynna,Nazwa  postać i dawka leku,Zawartość opakowania,Numer GTIN lub inny kod jednoznacznie identyfikujący produkt,Termin wejścia w życie decyzji,Okres obowiązywania decyzji,Grupa limitowa,Urzędowa cena zbytu,Cena hurtowa brutto,Wysokość limitu finansowania,Oznaczenie załącznika zawierającego zakres wskazań objętych refundacją  wg ICD 10 ,Poziom odpłatności,Wysokość dopłaty świadczeniobiorcy
1,Abemaciclibum,"Verzenios, tabl. powl., 100 mg",70 szt.,05014602500986,2022-09-01,2 lata,"1210.0, Abemacyklib","12336,30","12953,12","12953,12",B.9.FM.,bezpłatny,0
2,Abemaciclibum,"Verzenios, tabl. powl., 150 mg",70 szt.,05014602500993,2022-09-01,2 lata,"1210.0, Abemacyklib","12336,30","12953,12","12953,12",B.9.FM.,bezpłatny,0
3,Abemaciclibum,"Verzenios, tabl. powl., 50 mg",70 szt.,05014602500979,2022-09-01,2 lata,"1210.0, Abemacyklib","12336,30","12953,12","12953,12",B.9.FM.,bezpłatny,0
4,Acalabrutinibum,"Calquence, kaps. twarde, 100 mg",60 szt.,05000456061698,2023-01-01,2 lata,"1166.1, Inhibitory kinazy tyrozynowej Brutona - akalabrutynib","24840,00","26082,00","26082,00",B.79.,bezpłatny,0
5,Acidum carglumicum,"Carbaglu, tabletki do sporządzania zawiesiny doustnej, 200 mg",60 szt.,05909990213894,2023-03-01,2 lata,"1271.0, Kwas kargluminowy","18360,00","19278,00","19278,00",B.143.,bezpłatny,0
6,Adalimumabum,"Amgevita, roztwór do wstrzykiwań, 20 mg","1 amp.-strzyk. 0,4 ml",08715131019761,<1>2021-03-01/<2><3><4><5>2022-03-01,<1><5>3 lata/<2><3><4>2 lata,"1050.1, blokery TNF - adalimumab","452,06","474,66","380,31",<1>B.32.; <2>B.33.; <3>B.35.; <4>B.36.; <5>B.47.,bezpłatny,0
7,Adalimumabum,"Amgevita, roztwór do wstrzykiwań, 40 mg","2 amp.-strzyk. 0,8 ml",08715131019808,<1>2021-03-01/<2><3><4><5>2022-03-01,<1><5>3 lata/<2><3><4>2 lata,"1050.1, blokery TNF - adalimumab","1808,22","1898,63","1521,25",<1>B.32.; <2>B.33.; <3>B.35.; <4>B.36.; <5>B.47.,bezpłatny,0
9,Adalimumabum,"Hyrimoz, roztwór do wstrzykiwań w ampułko-strzykawce, 40 mg","2 amp. - strzyk. 0,8 ml z zabezpieczeniem",07613421020897,<1>2021-03-01/<2><3><4><5>2022-03-01,<1><5>3 lata/<2><3><4>2 lata,"1050.1, blokery TNF - adalimumab","1944,00","2041,20","1521,25",<1>B.32.; <2>B.33.; <3>B.35.; <4>B.36.; <5>B.47.,bezpłatny,0
8,Adalimumabum,"Hyrimoz, roztwór do wstrzykiwań, 40 mg","2 wstrzykiwacze 0,8 ml",07613421020880,<1>2021-03-01/<2><3><4><5>2022-03-01,<1><5>3 lata/<2><3><4>2 lata,"1050.1, blokery TNF - adalimumab","1944,00","2041,20","1521,25",<1>B.32.; <2>B.33.; <3>B.35.; <4>B.36.; <5>B.47.,bezpłatny,0
10,Adalimumabum,"Idacio, roztwór do wstrzykiwań w ampułko-strzykawce, 40 mg","2 amp.-strzyk. 0,8 ml + 2 gaziki",04052682034213,<1><2><3><4><5>2023-03-01/<6>2022-03-01,2 lata,"1050.1, blokery TNF - adalimumab","1448,81","1521,25","1521,25",<1>B.32.; <2>B.33.; <3>B.35.; <4>B.36.; <5>B.47.; <6>B.105.,bezpłatny,0
